Identifier (RIC),Company Name,Country of Exchange,GICS Industry Name,"Company Market Capitalization
(USD)",ISIN,"ESG Score
(FY-1)","ESG Score
(FY-2)","ESG Score
(FY-3)","ESG Score
(FY-4)","ESG Score
(FY-5)","ESG Score
(FY-6)","ESG Score
(FY-7)","ESG Score
(FY-8)","ESG Score
(FY-9)","ESG Score
(FY-10)","ESG Score
(FY-11)","ESG Score
(FY-12)","ESG Score
(FY-13)","ESG Score
(FY-14)","ESG Score
(FY-15)","ESG Score
(FY-16)","ESG Score
(FY-17)","ESG Score
(FY-18)","ESG Score
(FY-19)","ESG Score
(FY-20)","ESG Score
(FY-21)","ESG Score
(FY-22)","ESG Score
(FY-23)","ESG Score
(FY-24)","ESG Score
(FY-25)","Controversies Score
(FY0)","Environmental Pillar ESG Score
(FY0)","Social Pillar ESG Score
(FY0)","Governance Pillar ESG Score
(FY0)","ESG Score
(FY0)"
NVDA.OQ,NVIDIA Corp,United States of America,Semiconductors & Semiconductor Equipment,4888400000000,US67066G1040,75.0644240541061,74.7474697366374,76.4512191428568,77.7302088979568,81.1010327122621,74.6457999300515,74.9080029005312,76.471539397351,73.3098659631529,74.4622534029113,78.289599167793,75.8774458755887,63.4779395128365,57.0155011719066,60.6981498277801,43.6696297555761,46.7320840467729,39.5661214786114,22.0484955235117,15.8080268842601,21.6079989042596,17.8427249332151,13.9664468081432,,,0.739668,2.692308,3.714286,3.538462,73.9979096103518
AAPL.OQ,Apple Inc,United States of America,"Technology Hardware, Storage & Peripherals",4622404680320,US0378331005,71.8603783725969,74.6348173554917,77.4753084793831,82.3345953240368,77.6878674543499,67.9932036394134,70.6307632214977,67.2897864620671,61.5580660504008,54.2146680994041,56.1742594117773,60.2998167054344,56.5544715637007,52.6378122002174,59.8853127051985,61.9335515995347,52.8189256206799,37.2803730571511,44.9753536465139,51.7468919045658,,,,,,5,3.538462,2.285714,4.5,70.1806688893337
GOOGL.OQ,Alphabet Inc,United States of America,Interactive Media & Services,4338605941573.52,US02079K3059,78.3587614920292,78.6429964315249,76.7499900641389,74.1883923526732,72.4629194189475,65.0904476148536,54.9312008069121,62.2739148862608,62.1599457155099,51.8395480586203,43.5804259541652,49.2675601408223,47.5564415673817,43.6201652437054,37.2229286585471,55.2975469584883,56.2641134194861,61.6811729333816,61.0466819239159,48.4579119743916,,,,,,4.487237,3.75,1.25,3.461538,79.0949238467985
MSFT.OQ,Microsoft Corp,United States of America,Software,2880746978211.2,US5949181045,87.6148528582039,89.0678220023907,92.9093928229543,93.3701385059825,92.9362616485961,93.288107108665,90.7299227524157,91.2886149253839,92.8375022887708,92.388173236897,92.282546935224,88.011511206242,92.5305898620164,92.5964563370852,88.4736788898809,85.6857823223308,82.0561648257371,50.5082080963765,55.7981720277641,49.7289963492263,21.2910777960741,30.6836703611165,,,,2.298244,3.75,3.25,3.230769,87.5071582730164
AMZN.OQ,Amazon.com Inc,United States of America,Broadline Retail,2684436659753.8,US0231351067,77.4399606473021,75.9454525405556,76.5608949970201,83.9010476576424,84.7025603602459,82.3971831418676,71.6925120611209,65.288083450002,50.337776477423,49.8114512236309,45.9598244529011,42.5722244199134,43.2045832911328,29.0078798538635,27.6006795681154,21.1012571243784,30.0182369380891,19.3849123084841,30.5199453013354,36.5325362556905,32.2345004044755,22.8508957732621,,,,5,2.888889,3.25,3.75,69.3822663376553
SPCX.OQ,Space Exploration Technologies Corp,United States of America,Diversified Telecommunication Services,1975524676013.5,US84615Q1031,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,3.16569359962935
AVGO.OQ,Broadcom Inc,United States of America,Semiconductors & Semiconductor Equipment,1895895708903,US11135F1012,75.8863389372713,71.3298060370117,76.9122980960932,74.4463260613947,70.5640923925241,46.7999146091017,37.090421366405,32.2279923914332,38.4910606519944,32.1108927473496,31.8186834898315,32.6895043406554,29.8729139991935,32.1007591334477,22.8740052677265,,,,,,,,,,,0.475622,2.769231,3.285714,2.846154,73.1853888280596
META.OQ,Meta Platforms Inc,United States of America,Interactive Media & Services,1676209752446.84,US30303M1027,61.3672887010839,62.2191733421263,60.2987059712634,58.0228072689495,49.9368063814109,44.0781036645559,54.3521017428097,35.1594550750565,35.6751351042783,32.3819653284139,32.8532795205759,29.6181851158801,,,,,,,,,,,,,,4.794744,3.25,3.5,3.090909,51.3755942307457
TSLA.OQ,Tesla Inc,United States of America,Automobiles,1541687091806.79,US88160R1014,72.107504163088,69.7477253552867,63.3293865181193,59.8465415392431,54.2858314059658,45.7149327297709,37.5050795174882,31.295131425301,27.6606337160526,28.1336469047849,26.6143321092354,24.0282878292481,22.2318973052953,25.9822208099693,,,,,,,,,,,,5,2.461538,3.285714,3.375,66.7123656951861
LLY.N,Eli Lilly and Co,United States of America,Pharmaceuticals,1146052204031.7,US5324571083,67.9061368092332,69.8698056599944,66.2158343139517,70.7427519992791,70.6613783659207,74.3925768856433,71.6283496733892,71.5301442306956,66.8853781331836,64.9441651446351,69.3867396115156,75.2565036948346,68.2590340505612,72.4896504709083,73.7624233872943,61.015827740358,47.9752729806797,45.5413820611591,57.6752129984325,38.6255500825703,27.7949826010324,30.9075865087491,,,,0.938063,2.888889,2.857143,2.538462,67.0277985064903
