Identifier (RIC),Company Name,Country of Exchange,GICS Industry Name,"Company Market Capitalization
(USD)",ISIN,"ESG Score
(FY0)","ESG Score
(FY-1)","ESG Score
(FY-2)","ESG Score
(FY-3)","ESG Score
(FY-4)","ESG Score
(FY-5)","ESG Score
(FY-6)","ESG Score
(FY-7)","ESG Score
(FY-8)","ESG Score
(FY-9)","ESG Score
(FY-10)","ESG Score
(FY-11)","ESG Score
(FY-12)","ESG Score
(FY-13)","ESG Score
(FY-14)","ESG Score
(FY-15)","ESG Score
(FY-16)","ESG Score
(FY-17)","ESG Score
(FY-18)","ESG Score
(FY-19)","ESG Score
(FY-20)","ESG Score
(FY-21)","ESG Score
(FY-22)","ESG Score
(FY-23)","ESG Score
(FY-24)","ESG Score
(FY-25)","Controversies Score
(FY0)","Controversies Score
(FY-1)","Controversies Score
(FY-2)","Controversies Score
(FY-3)","Controversies Score
(FY-4)","Controversies Score
(FY-5)","Environmental Pillar ESG Score
(FY0)","Environmental Pillar ESG Score
(FY-1)","Environmental Pillar ESG Score
(FY-2)","Environmental Pillar ESG Score
(FY-3)","Environmental Pillar ESG Score
(FY-4)","Environmental Pillar ESG Score
(FY-5)","Social Pillar ESG Score
(FY0)","Social Pillar ESG Score
(FY-1)","Social Pillar ESG Score
(FY-2)","Social Pillar ESG Score
(FY-3)","Social Pillar ESG Score
(FY-4)","Social Pillar ESG Score
(FY-5)","Governance Pillar ESG Score
(FY0)","Governance Pillar ESG Score
(FY-1)","Governance Pillar ESG Score
(FY-2)","Governance Pillar ESG Score
(FY-3)","Governance Pillar ESG Score
(FY-4)","Governance Pillar ESG Score
(FY-5)"
NVDA.OQ,NVIDIA Corp,United States of America,Semiconductors & Semiconductor Equipment,4980481000000,US67066G1040,73.9742447057832,75.0742536730896,74.7647377817435,76.459851169361,77.7685015999702,81.101901357334,74.6398107581582,74.9090580947091,76.465603155556,73.3098659631529,74.4622534029113,78.289599167793,75.8774458755887,63.4779395128365,57.0155011719066,60.6981498277801,43.6696297555761,46.7320840467729,39.5661214786114,22.0484955235117,15.8080268842601,21.6079989042596,17.8427249332151,13.9664468081432,,,0.739668,1.388316,0.540847,0.316614,,,2.692308,2.692308,3,3.307692,,,3.714286,3.142857,3,2.571429,,,3.538462,3.538462,3,2.384615,,
AAPL.OQ,Apple Inc,United States of America,"Technology Hardware, Storage & Peripherals",4815543411720,US0378331005,71.2394425846911,71.8792047990094,74.6365597136916,77.4773012689611,82.3323265124296,77.6879323591124,67.9862718711934,70.6236064533462,67.2834672369305,61.5580660504008,54.2146680994041,56.1742594117773,60.2998167054344,56.5544715637007,52.6378122002174,59.8853127051985,61.9335515995347,52.8189256206799,37.2803730571511,44.9753536465139,51.7468919045658,,,,,,5,5,5,5,,,3.538462,3.538462,3.538462,3.461538,,,2.285714,2.285714,2.285714,2.285714,,,4.5,4.5,4.5,4.5,,
GOOGL.OQ,Alphabet Inc,United States of America,Interactive Media & Services,4233284844535.07,US02079K3059,79.0964869845422,78.3632571183815,78.657623930083,76.7372486989331,74.24634856182,72.4596036200966,65.0903739082841,54.9355981429379,62.2739148862608,62.1599457155099,51.8395480586203,43.5804259541652,49.2675601408223,47.5564415673817,43.6201652437054,37.2229286585471,55.2975469584883,56.2641134194861,61.6811729333816,61.0466819239159,48.4579119743916,,,,,,4.487237,2.797234,5,,,,3.75,4.5,4.5,,,,1.25,2,2,,,,3.461538,3.461538,3.181818,,,
MSFT.OQ,Microsoft Corp,United States of America,Software,2899615202359.36,US5949181045,87.5029648445981,87.6161766300898,89.0868066648482,92.9059072237275,93.3715315491071,92.9355318753578,93.2872882905284,90.7027300534874,91.2886149253839,92.8375022887708,92.388173236897,92.282546935224,88.011511206242,92.5305898620164,92.5964563370852,88.4736788898809,85.6857823223308,82.0561648257371,50.5082080963765,55.7981720277641,49.7289963492263,21.2910777960741,30.6836703611165,,,,2.298244,1.747317,3.132647,,,,3.75,3.5,3.25,,,,3.25,3.25,3,,,,3.230769,3.230769,3.461538,,,
AMZN.OQ,Amazon.com Inc,United States of America,Broadline Retail,2633878245404.6,US0231351067,69.0504462850551,77.1744958058235,75.6488515279668,76.2645145781106,84.0797614467655,84.6268123948643,82.4101183246212,71.4639643460943,65.288083450002,50.337776477423,49.8114512236309,45.9598244529011,42.5722244199134,43.2045832911328,29.0078798538635,27.6006795681154,21.1012571243784,30.0182369380891,19.3849123084841,30.5199453013354,36.5325362556905,32.2345004044755,22.8508957732621,,,,5,5,5,,,,2.888889,2.888889,2.777778,,,,3.25,3.25,2.75,,,,3.75,3.875,3.875,,,
AVGO.OQ,Broadcom Inc,United States of America,Semiconductors & Semiconductor Equipment,1808831991279.6,US11135F1012,74.6994469531162,76.3673943494971,71.4124327902709,76.8747061523635,74.4806753336144,70.5644730198373,46.7984913210801,37.0961551469732,32.2339286332282,38.4910606519944,32.1108927473496,31.8186834898315,32.6895043406554,29.8729139991935,32.1007591334477,22.8740052677265,,,,,,,,,,,0.475622,0.370658,0.708013,0.707003,,,2.769231,2.769231,2.769231,2.692308,,,3.285714,3.285714,2.857143,2.857143,,,2.846154,3.307692,3.307692,3.153846,,
META.OQ,Meta Platforms Inc,United States of America,Interactive Media & Services,1644136774000.8,US30303M1027,53.2140731975561,61.3835940476648,62.2312960678852,60.9403223995446,58.0846032834511,49.9223978453231,44.0882446364794,54.351664712948,35.1594550750565,35.6751351042783,32.3819653284139,32.8532795205759,29.6181851158801,,,,,,,,,,,,,,4.794744,3.703639,4.231027,,,,3.25,3.25,3.25,,,,3.5,4,2.5,,,,3.090909,3.090909,3,,,
SPCX.OQ,Space Exploration Technologies Corp,United States of America,Diversified Telecommunication Services,1622397584051.32,US84615Q1031,3.20461658111358,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,
TSLA.OQ,Tesla Inc,United States of America,Automobiles,1410386985276.63,US88160R1014,66.7116108192894,72.0331996539344,69.7637945367293,63.3306136942709,59.8693698581877,54.2673399863815,45.7229094065058,37.5106462503217,31.295131425301,27.6606337160526,28.1336469047849,26.6143321092354,24.0282878292481,22.2318973052953,25.9822208099693,,,,,,,,,,,,5,0,0,,,,2.461538,2.307692,1.846154,,,,3.285714,3.285714,2.857143,,,,3.375,3.75,3.75,,,
LLY.N,Eli Lilly and Co,United States of America,Pharmaceuticals,1095254672592.06,US5324571083,66.9427610024441,67.9036528126551,69.8420527360668,66.2326051079603,70.7963925147698,70.6554755305883,74.400446382139,71.6354302509519,71.5301442306956,66.8853781331836,64.9441651446351,69.3867396115156,75.2565036948346,68.2590340505612,72.4896504709083,73.7624233872943,61.015827740358,47.9752729806797,45.5413820611591,57.6752129984325,38.6255500825703,27.7949826010324,30.9075865087491,,,,0.938063,1.405431,2.156701,,,,2.888889,2.888889,3.222222,,,,2.857143,2.857143,2.857143,,,,2.538462,2.538462,2.538462,,,
