year,sector,rank,ticker,value,signal
2017,Communication Services,1,DIS,64.8832,esg
2017,Communication Services,2,GOOGL,62.2739,esg
2017,Communication Services,3,T,60.4943,esg
2017,Communication Services,4,CMCSA,60.2306,esg
2017,Communication Services,5,VZ,56.7228,esg
2017,Consumer Discretionary,1,HAS,85.6627,esg
2017,Consumer Discretionary,2,GM,84.9424,esg
2017,Consumer Discretionary,3,BBY,82.1869,esg
2017,Consumer Discretionary,4,LOW,81.3893,esg
2017,Consumer Discretionary,5,HD,80.0617,esg
2017,Consumer Staples,1,TGT,88.2072,esg
2017,Consumer Staples,2,CL,87.6454,esg
2017,Consumer Staples,3,MO,86.2951,esg
2017,Consumer Staples,4,PEP,81.5215,esg
2017,Consumer Staples,5,PM,78.6114,esg
2017,Energy,1,CVX,88.4034,esg
2017,Energy,2,HAL,78.5794,esg
2017,Energy,3,XOM,77.9088,esg
2017,Energy,4,COP,75.3196,esg
2017,Energy,5,BKR,69.221,esg
2017,Financials,1,STT,87.6557,esg
2017,Financials,2,C,83.0302,esg
2017,Financials,3,JPM,81.5213,esg
2017,Financials,4,WFC,81.1902,esg
2017,Financials,5,PNC,80.3222,esg
2017,Health Care,1,A,88.4762,esg
2017,Health Care,2,JNJ,87.2923,esg
2017,Health Care,3,BAX,85.7161,esg
2017,Health Care,4,CVS,85.029,esg
2017,Health Care,5,HUM,84.1873,esg
2017,Industrials,1,MMM,88.1284,esg
2017,Industrials,2,LMT,82.7396,esg
2017,Industrials,3,WM,82.4393,esg
2017,Industrials,4,GE,80.7391,esg
2017,Industrials,5,NOC,79.6956,esg
2017,Information Technology,1,MSFT,91.2886,esg
2017,Information Technology,2,INTC,89.25,esg
2017,Information Technology,3,CSCO,87.694,esg
2017,Information Technology,4,TXN,86.9673,esg
2017,Information Technology,5,ADSK,81.8071,esg
2017,Materials,1,CRH,84.9826,esg
2017,Materials,2,FCX,83.7902,esg
2017,Materials,3,NEM,81.8338,esg
2017,Materials,4,SW,80.0725,esg
2017,Materials,5,BALL,78.7124,esg
2017,Real Estate,1,CBRE,88.7669,esg
2017,Real Estate,2,VTR,81.2381,esg
2017,Real Estate,3,HST,80.9868,esg
2017,Real Estate,4,PLD,80.6113,esg
2017,Real Estate,5,WY,76.5743,esg
2017,Utilities,1,PCG,87.8821,esg
2017,Utilities,2,D,81.258,esg
2017,Utilities,3,NRG,79.473,esg
2017,Utilities,4,DUK,75.1578,esg
2017,Utilities,5,AWK,74.3113,esg
2018,Communication Services,1,DIS,65.5713,esg
2018,Communication Services,2,VZ,65.1307,esg
2018,Communication Services,3,T,61.4158,esg
2018,Communication Services,4,GOOGL,54.9356,esg
2018,Communication Services,5,OMC,54.7727,esg
2018,Consumer Discretionary,1,GM,89.3463,esg
2018,Consumer Discretionary,2,HAS,89.0591,esg
2018,Consumer Discretionary,3,BBY,85.5206,esg
2018,Consumer Discretionary,4,F,80.2204,esg
2018,Consumer Discretionary,5,CCL,80.0096,esg
2018,Consumer Staples,1,MO,88.8373,esg
2018,Consumer Staples,2,TGT,88.5055,esg
2018,Consumer Staples,3,CL,87.0615,esg
2018,Consumer Staples,4,PM,84.8892,esg
2018,Consumer Staples,5,KR,84.2397,esg
2018,Energy,1,HAL,84.7767,esg
2018,Energy,2,CVX,81.2654,esg
2018,Energy,3,BKR,80.0997,esg
2018,Energy,4,XOM,75.7364,esg
2018,Energy,5,SLB,71.1531,esg
2018,Financials,1,C,88.8236,esg
2018,Financials,2,STT,88.5821,esg
2018,Financials,3,SPGI,87.1102,esg
2018,Financials,4,ALL,82.967,esg
2018,Financials,5,JPM,82.8527,esg
2018,Health Care,1,A,88.185,esg
2018,Health Care,2,HUM,85.9436,esg
2018,Health Care,3,JNJ,85.7695,esg
2018,Health Care,4,BAX,84.8072,esg
2018,Health Care,5,MRK,82.6116,esg
2018,Industrials,1,WM,91.5929,esg
2018,Industrials,2,MMM,90.5276,esg
2018,Industrials,3,GE,86.8278,esg
2018,Industrials,4,LMT,86.3267,esg
2018,Industrials,5,LDOS,83.8754,esg
2018,Information Technology,1,MSFT,90.7027,esg
2018,Information Technology,2,CSCO,88.1996,esg
2018,Information Technology,3,INTC,86.0165,esg
2018,Information Technology,4,ACN,84.1796,esg
2018,Information Technology,5,INTU,83.7911,esg
2018,Materials,1,NEM,87.4072,esg
2018,Materials,2,FCX,84.0769,esg
2018,Materials,3,CRH,82.015,esg
2018,Materials,4,IFF,78.7232,esg
2018,Materials,5,SW,76.1091,esg
2018,Real Estate,1,CBRE,88.8431,esg
2018,Real Estate,2,WY,82.5103,esg
2018,Real Estate,3,VTR,81.9323,esg
2018,Real Estate,4,PLD,80.6584,esg
2018,Real Estate,5,HST,78.8979,esg
2018,Utilities,1,PCG,85.8717,esg
2018,Utilities,2,D,81.9426,esg
2018,Utilities,3,SRE,81.7939,esg
2018,Utilities,4,NRG,80.7722,esg
2018,Utilities,5,DUK,75.5673,esg
2019,Communication Services,1,DIS,70.752,esg
2019,Communication Services,2,VZ,70.34,esg
2019,Communication Services,3,GOOGL,65.0904,esg
2019,Communication Services,4,T,63.9403,esg
2019,Communication Services,5,CMCSA,61.9904,esg
2019,Consumer Discretionary,1,GM,86.1654,esg
2019,Consumer Discretionary,2,BBY,85.7329,esg
2019,Consumer Discretionary,3,F,82.7658,esg
2019,Consumer Discretionary,4,CCL,82.7405,esg
2019,Consumer Discretionary,5,AMZN,82.4101,esg
2019,Consumer Staples,1,MO,89.2596,esg
2019,Consumer Staples,2,PM,87.5285,esg
2019,Consumer Staples,3,PEP,85.3557,esg
2019,Consumer Staples,4,KR,81.8658,esg
2019,Consumer Staples,5,CL,81.8311,esg
2019,Energy,1,HAL,87.3539,esg
2019,Energy,2,BKR,83.625,esg
2019,Energy,3,XOM,82.8394,esg
2019,Energy,4,OXY,78.1285,esg
2019,Energy,5,CVX,76.4629,esg
2019,Financials,1,SPGI,91.3346,esg
2019,Financials,2,C,88.5739,esg
2019,Financials,3,STT,87.1958,esg
2019,Financials,4,BNY,84.1961,esg
2019,Financials,5,WFC,82.0763,esg
2019,Health Care,1,A,89.0785,esg
2019,Health Care,2,HUM,86.4983,esg
2019,Health Care,3,BAX,86.4936,esg
2019,Health Care,4,JNJ,86.0229,esg
2019,Health Care,5,GILD,84.1915,esg
2019,Industrials,1,WM,89.5276,esg
2019,Industrials,2,MMM,88.3922,esg
2019,Industrials,3,NOC,84.4555,esg
2019,Industrials,4,GE,83.1747,esg
2019,Industrials,5,JCI,81.9387,esg
2019,Information Technology,1,MSFT,93.2873,esg
2019,Information Technology,2,INTC,88.4361,esg
2019,Information Technology,3,CSCO,87.2196,esg
2019,Information Technology,4,IBM,86.3281,esg
2019,Information Technology,5,FLEX,84.7246,esg
2019,Materials,1,NEM,85.9197,esg
2019,Materials,2,LIN,85.8966,esg
2019,Materials,3,APD,84.4195,esg
2019,Materials,4,FCX,82.866,esg
2019,Materials,5,CRH,82.1794,esg
2019,Real Estate,1,CBRE,92.6048,esg
2019,Real Estate,2,HST,88.1293,esg
2019,Real Estate,3,VTR,85.6193,esg
2019,Real Estate,4,KIM,80.8678,esg
2019,Real Estate,5,DOC,79.112,esg
2019,Utilities,1,PCG,88.6162,esg
2019,Utilities,2,D,81.0011,esg
2019,Utilities,3,DTE,78.2175,esg
2019,Utilities,4,XEL,77.5111,esg
2019,Utilities,5,NRG,75.8226,esg
2020,Communication Services,1,DIS,74.7923,esg
2020,Communication Services,2,VZ,74.4928,esg
2020,Communication Services,3,GOOGL,72.4596,esg
2020,Communication Services,4,OMC,67.715,esg
2020,Communication Services,5,T,67.6554,esg
2020,Consumer Discretionary,1,CCL,86.6736,esg
2020,Consumer Discretionary,2,HLT,86.0982,esg
2020,Consumer Discretionary,3,AMZN,84.6268,esg
2020,Consumer Discretionary,4,GM,82.2259,esg
2020,Consumer Discretionary,5,F,80.9619,esg
2020,Consumer Staples,1,MO,90.3273,esg
2020,Consumer Staples,2,PM,89.0186,esg
2020,Consumer Staples,3,PEP,87.6788,esg
2020,Consumer Staples,4,KR,83.0437,esg
2020,Consumer Staples,5,TGT,83.0431,esg
2020,Energy,1,HAL,91.3986,esg
2020,Energy,2,KMI,84.9816,esg
2020,Energy,3,CVX,83.9454,esg
2020,Energy,4,XOM,83.8512,esg
2020,Energy,5,BKR,83.6312,esg
2020,Financials,1,SPGI,89.9551,esg
2020,Financials,2,C,88.1877,esg
2020,Financials,3,BAC,86.9821,esg
2020,Financials,4,STT,86.4122,esg
2020,Financials,5,JPM,84.1892,esg
2020,Health Care,1,A,88.2972,esg
2020,Health Care,2,HUM,87.1374,esg
2020,Health Care,3,JNJ,85.4756,esg
2020,Health Care,4,BSX,84.6225,esg
2020,Health Care,5,GILD,84.4828,esg
2020,Industrials,1,MMM,89.9576,esg
2020,Industrials,2,WM,87.895,esg
2020,Industrials,3,JCI,86.7219,esg
2020,Industrials,4,LMT,86.1282,esg
2020,Industrials,5,GE,85.7783,esg
2020,Information Technology,1,MSFT,92.9355,esg
2020,Information Technology,2,INTC,88.6593,esg
2020,Information Technology,3,TXN,88.5515,esg
2020,Information Technology,4,CSCO,87.9284,esg
2020,Information Technology,5,FLEX,85.0746,esg
2020,Materials,1,CRH,92.4241,esg
2020,Materials,2,LIN,87.9667,esg
2020,Materials,3,IFF,87.0932,esg
2020,Materials,4,NEM,83.374,esg
2020,Materials,5,FCX,81.7809,esg
2020,Real Estate,1,HST,89.909,esg
2020,Real Estate,2,DOC,86.6496,esg
2020,Real Estate,3,CBRE,85.2748,esg
