date,ticker,return,esg_E,esg_S,esg_G
2006-05-15,DIS,0.003009862756897297,0.4,0.325,0.6
2006-05-15,GOOGL,0.005532969373932328,0.9,0.4,0.6363635999999999
2006-05-15,T,0.0066354018681420435,0.75,0.6,0.5454546
2006-05-15,VZ,-0.008493664044860627,0.65,0.7,0.7272727999999999
2006-05-15,OMC,0.0032676631574575232,0.55,0.2,0.6181818
2006-05-15,CCL,-0.0025722699451835584,0.6333333999999999,0.675,0.6599999999999999
2006-05-15,HAS,-0.0010064560778832998,0.65,0.7,0.5818182000000001
2006-05-15,BBY,0.005893520782097594,0.5777778,0.55,0.75
2006-05-15,F,0.0028131473819879016,0.9076924,0.6571428,0.575
2006-05-15,YUM,0.009403563574493345,0.7111112,0.625,0.825
2006-05-15,CL,0.006921072863494082,0.7764706,0.725,0.75
2006-05-15,PEP,0.01824676651022572,0.7333334,0.6571428,0.725
2006-05-15,TGT,-0.04194632620904282,0.5555556,0.45,0.625
2006-05-15,HSY,0.011683671073311697,0.5599999999999999,0.7428572,0.55
2006-05-15,BG,0.0001699805990096337,0.5866666,0.4857142,0.775
2006-05-15,C,0.010614515632320742,0.55,0.8,0.7714286
2006-05-15,SPGI,-0.0009321420128113322,0.4307692,0.7714286,0.7285714
2006-05-15,BAC,0.0071135767680139406,0.6,0.6,0.5142858
2006-05-15,STT,0.0026796083689131223,0.5,0.3,0.6428572
2006-05-15,JPM,0.004964612333518081,0.6,0.5,0.5857142
2006-05-15,JNJ,0.019377706089575675,0.7111112,0.7428572,0.7384616
2006-05-15,A,0.019328611077489732,0.6615384,0.8285714000000001,0.7076924
2006-05-15,GILD,0.027727906662087243,0.5333334,0.4571428,0.7384616
2006-05-15,BAX,0.0023664342457321297,0.6,0.4571428,0.6461538
2006-05-15,BDX,0.012050538519116083,0.48888879999999996,0.6,0.5384616
2006-05-15,MMM,0.0063525467904712585,0.7,0.8,0.8400000000000001
2006-05-15,WM,-0.012162298042006525,0.4461538,0.5714286000000001,0.85
2006-05-15,JCI,0.013562831367904149,0.723077,0.6571428,0.775
2006-05-15,CAT,-0.004368967124534051,0.6,0.5714286000000001,0.6461538
2006-05-15,FDX,0.0033031539495937956,0.46666660000000004,0.45,0.64
2006-05-15,MSFT,0.0030330559847251415,0.65,0.6,0.6923076
2006-05-15,INTC,0.014705619607876752,0.8153846,0.575,0.8461538
2006-05-15,CSCO,0.010816023396020835,0.8,0.6,0.725
2006-05-15,FLEX,-0.02789526710508272,0.7076924,0.7714286,0.925
2006-05-15,ACN,-0.010627459518527727,0.75,0.55,0.6923076
2006-05-15,CRH,-0.037301449034996104,0.7866666,0.7142858000000001,0.8
2006-05-15,NEM,-0.03551843961381196,0.8428572000000001,0.8,0.7846154000000001
2006-05-15,LIN,0.007738226707171281,0.7466666,0.7142858000000001,0.9199999999999999
2006-05-15,IFF,0.0044746506176740475,0.5263158,0.74,0.78
2006-05-15,FCX,-0.05992001085537413,0.5857142,0.8857142,0.7076924
2006-05-15,CBRE,-0.04590124519645433,0.5166666,0.6,0.9
2006-05-15,HST,-0.0014634967884724626,0.6166666000000001,0.5333334,0.64
2006-05-15,VTR,0.007836872526872485,0.4333334,0.4,0.64
2006-05-15,DOC,0.014481070914739824,0.46666660000000004,0.46666660000000004,0.76
2006-05-15,WY,-0.0019076946650908866,0.6125,0.6285714,0.6307692
2006-05-15,PCG,-0.0012721401385800135,0.6133333999999999,0.5142858,0.76
2006-05-15,D,-0.003126698578539866,0.5599999999999999,0.5714286000000001,0.58
2006-05-15,XEL,0.01358686728141656,0.6,0.5428572,0.6799999999999999
2006-05-15,EIX,-0.003954512504937835,0.46666660000000004,0.5142858,0.76
2006-05-15,SRE,0.012849743867262786,0.6666666,0.7714286,0.62
2006-05-16,DIS,0.012004042144011962,0.4,0.325,0.6
2006-05-16,GOOGL,-0.01302498404695207,0.9,0.4,0.6363635999999999
2006-05-16,T,-0.0007755134637474903,0.75,0.6,0.5454546
2006-05-16,VZ,0.005711044995195591,0.65,0.7,0.7272727999999999
2006-05-16,OMC,-0.00206287605680322,0.55,0.2,0.6181818
2006-05-16,CCL,-0.08465802913044562,0.6333333999999999,0.675,0.6599999999999999
2006-05-16,HAS,-0.01712832587491031,0.65,0.7,0.5818182000000001
2006-05-16,BBY,-0.020411988752542798,0.5777778,0.55,0.75
2006-05-16,F,-0.015427924318737407,0.9076924,0.6571428,0.575
2006-05-16,YUM,-0.02142709367293294,0.7111112,0.625,0.825
2006-05-16,CL,0.015925855903973885,0.7764706,0.725,0.75
2006-05-16,PEP,-0.0008370899198971715,0.7333334,0.6571428,0.725
2006-05-16,TGT,-0.013794290130785702,0.5555556,0.45,0.625
2006-05-16,HSY,0.0025668472851421154,0.5599999999999999,0.7428572,0.55
2006-05-16,BG,-0.005451062430172238,0.5866666,0.4857142,0.775
2006-05-16,C,0.0006053622940633829,0.55,0.8,0.7714286
2006-05-16,SPGI,0.004480795723556863,0.4307692,0.7714286,0.7285714
2006-05-16,BAC,0.0018163628442160462,0.6,0.6,0.5142858
2006-05-16,STT,-0.002986494847166843,0.5,0.3,0.6428572
2006-05-16,JPM,-0.004940086718069003,0.6,0.5,0.5857142
2006-05-16,JNJ,0.004668720305032403,0.7111112,0.7428572,0.7384616
2006-05-16,A,-0.08217000029115851,0.6615384,0.8285714000000001,0.7076924
2006-05-16,GILD,-0.005956379735591599,0.5333334,0.4571428,0.7384616
2006-05-16,BAX,-0.006820457275698355,0.6,0.4571428,0.6461538
2006-05-16,BDX,-0.012550008331899565,0.48888879999999996,0.6,0.5384616
2006-05-16,MMM,-0.004132173572283349,0.7,0.8,0.8400000000000001
2006-05-16,WM,0.005471939228284484,0.4461538,0.5714286000000001,0.85
2006-05-16,JCI,-0.017359861430384704,0.723077,0.6571428,0.775
2006-05-16,CAT,-0.0016783533310142928,0.6,0.5714286000000001,0.6461538
2006-05-16,FDX,-8.696317170775458e-05,0.46666660000000004,0.45,0.64
2006-05-16,MSFT,-0.006047768748253968,0.65,0.6,0.6923076
2006-05-16,INTC,-0.013456896773295535,0.8153846,0.575,0.8461538
2006-05-16,CSCO,-0.017023578081029167,0.8,0.6,0.725
2006-05-16,FLEX,-0.01043475543218697,0.7076924,0.7714286,0.925
2006-05-16,ACN,0.0038114056892100123,0.75,0.55,0.6923076
2006-05-16,CRH,-0.001424075308736228,0.7866666,0.7142858000000001,0.8
2006-05-16,NEM,-0.015282179169763932,0.8428572000000001,0.8,0.7846154000000001
2006-05-16,LIN,-0.013571500288536598,0.7466666,0.7142858000000001,0.9199999999999999
2006-05-16,IFF,-0.004732769851582774,0.5263158,0.74,0.78
2006-05-16,FCX,-0.014146288410729957,0.5857142,0.8857142,0.7076924
2006-05-16,CBRE,0.040447195025953064,0.5166666,0.6,0.9
2006-05-16,HST,0.00341941239167709,0.6166666000000001,0.5333334,0.64
2006-05-16,VTR,-0.0065318328379559976,0.4333334,0.4,0.64
2006-05-16,DOC,-0.00424340309418858,0.46666660000000004,0.46666660000000004,0.76
2006-05-16,WY,-0.010294328973368572,0.6125,0.6285714,0.6307692
2006-05-16,PCG,-0.012484088477026645,0.6133333999999999,0.5142858,0.76
2006-05-16,D,-0.0102256537951525,0.5599999999999999,0.5714286000000001,0.58
2006-05-16,XEL,-0.0032168943279575757,0.6,0.5428572,0.6799999999999999
2006-05-16,EIX,-0.0007444455474721057,0.46666660000000004,0.5142858,0.76
2006-05-16,SRE,-0.01224143379232634,0.6666666,0.7714286,0.62
2006-05-17,DIS,-0.019439918150706448,0.4,0.325,0.6
2006-05-17,GOOGL,0.008618366111779352,0.9,0.4,0.6363635999999999
2006-05-17,T,-0.025999462148039942,0.75,0.6,0.5454546
2006-05-17,VZ,-0.028076111284406347,0.65,0.7,0.7272727999999999
2006-05-17,OMC,-0.004134208078147794,0.55,0.2,0.6181818
2006-05-17,CCL,-0.03116922460276217,0.6333333999999999,0.675,0.6599999999999999
2006-05-17,HAS,-0.010250994896506271,0.65,0.7,0.5818182000000001
2006-05-17,BBY,-0.003473176783051146,0.5777778,0.55,0.75
2006-05-17,F,-0.01566967487683646,0.9076924,0.6571428,0.575
2006-05-17,YUM,0.003046569435180002,0.7111112,0.625,0.825
2006-05-17,CL,0.0062710456770036505,0.7764706,0.725,0.75
2006-05-17,PEP,-0.0001678813158710879,0.7333334,0.6571428,0.725
2006-05-17,TGT,-0.010766262023179762,0.5555556,0.45,0.625
2006-05-17,HSY,0.005302541398530369,0.5599999999999999,0.7428572,0.55
2006-05-17,BG,-0.015416200498634125,0.5866666,0.4857142,0.775
2006-05-17,C,-0.014331931469150572,0.55,0.8,0.7714286
2006-05-17,SPGI,-0.018587464652641827,0.4307692,0.7714286,0.7285714
2006-05-17,BAC,-0.021756245899297033,0.6,0.6,0.5142858
2006-05-17,STT,-0.03421109580046422,0.5,0.3,0.6428572
2006-05-17,JPM,-0.02414205966413352,0.6,0.5,0.5857142
2006-05-17,JNJ,-0.001991452048813569,0.7111112,0.7428572,0.7384616
2006-05-17,A,-0.0017216576793941396,0.6615384,0.8285714000000001,0.7076924
2006-05-17,GILD,-0.01656716616753151,0.5333334,0.4571428,0.7384616
2006-05-17,BAX,-0.022979351868109732,0.6,0.4571428,0.6461538
