year,sector,rank,ticker,value,signal
2017,Communication Services,1,TTWO,1.2272,return
2017,Communication Services,2,TKO,0.6972,return
2017,Communication Services,3,TTD,0.6527,return
2017,Communication Services,4,LYV,0.6004,return
2017,Communication Services,5,NFLX,0.5506,return
2017,Consumer Discretionary,1,NVR,1.102,return
2017,Consumer Discretionary,2,WYNN,0.9809,return
2017,Consumer Discretionary,3,DHI,0.8906,return
2017,Consumer Discretionary,4,PHM,0.8343,return
2017,Consumer Discretionary,5,MAR,0.6624,return
2017,Consumer Staples,1,EL,0.6868,return
2017,Consumer Staples,2,BF-B,0.5501,return
2017,Consumer Staples,3,STZ,0.5069,return
2017,Consumer Staples,4,WMT,0.4656,return
2017,Consumer Staples,5,MNST,0.4274,return
2017,Energy,1,TPL,0.5118,return
2017,Energy,2,VLO,0.3999,return
2017,Energy,3,MPC,0.3478,return
2017,Energy,4,FANG,0.2493,return
2017,Energy,5,PSX,0.2095,return
2017,Financials,1,XYZ,1.5437,return
2017,Financials,2,PYPL,0.8652,return
2017,Financials,3,APO,0.8529,return
2017,Financials,4,CBOE,0.7049,return
2017,Financials,5,IBKR,0.6375,return
2017,Health Care,1,ALGN,1.3113,return
2017,Health Care,2,VRTX,1.0342,return
2017,Health Care,3,PODD,0.8312,return
2017,Health Care,4,CNC,0.7852,return
2017,Health Care,5,ISRG,0.7264,return
2017,Industrials,1,BLDR,0.9863,return
2017,Industrials,2,BA,0.9471,return
2017,Industrials,3,CAT,0.7503,return
2017,Industrials,4,URI,0.6282,return
2017,Industrials,5,CPRT,0.5589,return
2017,Information Technology,1,ANET,1.4344,return
2017,Information Technology,2,FSLR,1.1041,return
2017,Information Technology,3,MU,0.8759,return
2017,Information Technology,4,NVDA,0.8199,return
2017,Information Technology,5,LRCX,0.7621,return
2017,Materials,1,AVY,0.6675,return
2017,Materials,2,SHW,0.5411,return
2017,Materials,3,SW,0.5043,return
2017,Materials,4,ALB,0.5022,return
2017,Materials,5,PKG,0.4551,return
2017,Real Estate,1,SBAC,0.582,return
2017,Real Estate,2,CSGP,0.5754,return
2017,Real Estate,3,AMT,0.3771,return
2017,Real Estate,4,CBRE,0.3754,return
2017,Real Estate,5,CCI,0.3297,return
2017,Utilities,1,NRG,1.3369,return
2017,Utilities,2,NEE,0.344,return
2017,Utilities,3,AWK,0.2901,return
2017,Utilities,4,XEL,0.2191,return
2017,Utilities,5,PEG,0.2177,return
2018,Communication Services,1,TTD,1.5379,return
2018,Communication Services,2,TKO,1.4635,return
2018,Communication Services,3,NFLX,0.3944,return
2018,Communication Services,4,LYV,0.1569,return
2018,Communication Services,5,VZ,0.1126,return
2018,Consumer Discretionary,1,CVNA,0.7108,return
2018,Consumer Discretionary,2,DECK,0.5944,return
2018,Consumer Discretionary,3,LULU,0.5474,return
2018,Consumer Discretionary,4,CMG,0.4939,return
2018,Consumer Discretionary,5,ORLY,0.4315,return
2018,Consumer Staples,1,KDP,0.6597,return
2018,Consumer Staples,2,MKC,0.3901,return
2018,Consumer Staples,3,CHD,0.3323,return
2018,Consumer Staples,4,HRL,0.1969,return
2018,Consumer Staples,5,DG,0.1755,return
2018,Energy,1,TPL,0.2221,return
2018,Energy,2,COP,0.1563,return
2018,Energy,3,OKE,0.0627,return
2018,Energy,4,MPC,-0.0823,return
2018,Energy,5,CVX,-0.0975,return
2018,Financials,1,XYZ,0.6178,return
2018,Financials,2,CME,0.3215,return
2018,Financials,3,MA,0.2531,return
2018,Financials,4,AJG,0.1919,return
2018,Financials,5,MSCI,0.1795,return
2018,Health Care,1,DXCM,1.0875,return
2018,Health Care,2,VEEV,0.6158,return
2018,Health Care,3,HCA,0.4337,return
2018,Health Care,4,BSX,0.4256,return
2018,Health Care,5,LLY,0.4045,return
2018,Industrials,1,AXON,0.6509,return
2018,Industrials,2,UAL,0.2423,return
2018,Industrials,3,TDG,0.2383,return
2018,Industrials,4,GWW,0.2169,return
2018,Industrials,5,ROL,0.177,return
2018,Information Technology,1,AMD,0.7957,return
2018,Information Technology,2,CIEN,0.6202,return
2018,Information Technology,3,FTNT,0.612,return
2018,Information Technology,4,WDAY,0.5695,return
2018,Information Technology,5,ZBRA,0.534,return
2018,Materials,1,BALL,0.2265,return
2018,Materials,2,MOS,0.1422,return
