ticker,sector,industry,entry_date,exit_date
A,Health Care,Life Sciences Tools & Services,2000-06-05,
AA,Materials,Metals & Mining,1900-01-01,2017-01-01
AAL,Industrials,Passenger Airlines,2016-01-01,2025-01-01
AAP,Consumer Discretionary,Specialty Retail,2016-01-01,2024-01-01
AAPL,Information Technology,"Technology Hardware, Storage & Peripherals",1982-11-30,
ABBV,Health Care,Biotechnology,2014-01-01,
ABC,,,1900-01-01,2024-01-01
ABI,,,1900-01-01,2010-01-01
ABK,,,1900-01-01,2009-01-01
ABMD,,,2019-01-01,2023-01-01
ABNB,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2024-01-01,
ABT,Health Care,Health Care Equipment,1957-03-04,
ACAS,,,2009-01-01,2010-01-01
ACE,,,1900-01-01,2009-01-01
ACE,,,2011-01-01,2017-01-01
ACGL,Financials,Property & Casualty Insurance,2023-01-01,
ACN,Information Technology,IT Consulting & Other Services,2012-01-01,
ACS,,,1900-01-01,2011-01-01
ACT,Financials,Financial Services,2014-01-01,2016-01-01
ADBE,Information Technology,Application Software,1997-05-05,
ADCT,Health Care,Biotechnology,1900-01-01,2009-01-01
ADI,Information Technology,Semiconductors,1999-10-12,
ADM,Consumer Staples,Agricultural Products & Services,1957-03-04,
ADP,Industrials,Human Resource & Employment Services,1981-03-31,
ADS,,,2014-01-01,2021-01-01
ADSK,Information Technology,Application Software,1989-12-01,
ADT,Consumer Discretionary,Diversified Consumer Services,2013-01-01,2017-01-01
AEE,Utilities,Multi-Utilities,1991-09-19,
AEP,Utilities,Electric Utilities,1957-03-04,
AES,Utilities,Independent Power Producers & Energy Traders,1998-10-02,
AET,,,1900-01-01,2019-01-01
AFL,Financials,Life & Health Insurance,1999-05-28,
AGN,,,1900-01-01,2021-01-01
AIG,Financials,Multi-line Insurance,1980-03-31,
AIV,Real Estate,Residential REITs,1900-01-01,2021-01-01
AIZ,Financials,Multi-line Insurance,2007-04-10,
AJG,Financials,Insurance Brokers,2017-01-01,
AKAM,Information Technology,Internet Services & Infrastructure,2009-01-01,
AKS,,,2009-01-01,2012-01-01
ALB,Materials,Specialty Chemicals,2017-01-01,
ALGN,Health Care,Health Care Supplies,2018-01-01,
ALK,Industrials,Passenger Airlines,2017-01-01,2024-01-01
ALL,Financials,Property & Casualty Insurance,1995-07-13,
ALLE,Industrials,Building Products,2014-01-01,
ALTR,,,1900-01-01,2016-01-01
ALXN,,,2013-01-01,2022-01-01
AMAT,Information Technology,Semiconductor Materials & Equipment,1995-03-16,
AMCR,Materials,Paper & Plastic Packaging Products & Materials,2020-01-01,
AMD,Information Technology,Semiconductors,1900-01-01,2014-01-01
AMD,Information Technology,Semiconductors,2018-01-01,
AME,Industrials,Electrical Components & Equipment,2014-01-01,
AMG,Financials,Capital Markets,2015-01-01,2020-01-01
AMGN,Health Care,Biotechnology,1992-01-02,
AMP,Financials,Asset Management & Custody Banks,2005-10-03,
AMT,Real Estate,Telecom Tower REITs,2007-11-19,
AMZN,Consumer Discretionary,Broadline Retail,2005-11-18,
AN,Consumer Discretionary,Specialty Retail,1900-01-01,2018-01-01
ANDV,,,2018-01-01,2019-01-01
ANET,Information Technology,Communications Equipment,2019-01-01,
ANF,Consumer Discretionary,Specialty Retail,2009-01-01,2014-01-01
ANR,,,2012-01-01,2013-01-01
ANSS,,,2018-01-01,2026-01-01
ANTM,,,2015-01-01,2023-01-01
AOC,,,1900-01-01,2010-01-01
AON,Financials,Insurance Brokers,2010-01-01,
AOS,Industrials,Building Products,2018-01-01,
APA,Energy,Oil & Gas Exploration & Production,1997-07-28,
APC,,,1900-01-01,2020-01-01
APD,Materials,Industrial Gases,1985-04-30,
APH,Information Technology,Electronic Components,2011-01-01,
APO,Financials,Asset Management & Custody Banks,2025-01-01,
APOL,,,1900-01-01,2014-01-01
APP,Communication Services,Advertising,2026-01-01,
APTV,Consumer Discretionary,Automotive Parts & Equipment,2018-01-01,
ARE,Real Estate,Office REITs,2018-01-01,
ARES,Financials,Asset Management & Custody Banks,2026-01-01,
ARG,,,2011-01-01,2017-01-01
ARNC,,,2017-01-01,2021-01-01
ASH,Materials,Chemicals,1900-01-01,2011-01-01
ASN,,,1900-01-01,2009-01-01
ATI,Industrials,Aerospace & Defense,1900-01-01,2016-01-01
ATO,Utilities,Gas Utilities,2020-01-01,
ATVI,,,2016-01-01,2024-01-01
AV,,,1900-01-01,2009-01-01
AVB,Real Estate,Residential REITs,1900-01-01,
AVGO,Information Technology,Semiconductors,2015-01-01,
AVP,,,1900-01-01,2016-01-01
AVY,Materials,Paper & Plastic Packaging Products & Materials,1987-12-31,
AW,,,1900-01-01,2010-01-01
AWK,Utilities,Water Utilities,2017-01-01,
AXON,Industrials,Aerospace & Defense,2024-01-01,
AXP,Financials,Consumer Finance,1976-06-30,
AYE,,,1900-01-01,2012-01-01
AYI,Industrials,Electrical Equipment,2017-01-01,2019-01-01
AZO,Consumer Discretionary,Automotive Retail,1997-01-02,
BA,Industrials,Aerospace & Defense,1957-03-04,
BAC,Financials,Diversified Banks,1976-06-30,
BALL,Materials,"Metal, Glass & Plastic Containers",2023-01-01,
