year,ticker,sector,esg_rank,ret_rank,esg_years,ret_years,min_years,esg_mean,selected
2008,SSP,Communication Services,1,1,5,7,5,23.26777775923592,True
2008,DIS,Communication Services,2,2,4,7,4,49.97873167918797,True
2008,NYT,Communication Services,3,7,4,3,3,34.353679184524275,True
2008,VZ,Communication Services,4,4,4,6,4,31.779195112748077,True
2008,T,Communication Services,5,6,3,5,3,20.353070271467317,True
2008,SBUX,Consumer Discretionary,1,5,4,2,2,69.81075949809147,False
2008,MCD,Consumer Discretionary,2,24,4,1,1,54.40999663237987,False
2008,HD,Consumer Discretionary,3,35,4,0,0,45.24812741386438,False
2008,BC,Consumer Discretionary,4,26,2,1,1,44.46795438011363,False
2008,AN,Consumer Discretionary,5,21,2,1,1,42.97885122670293,False
2008,PEP,Consumer Staples,1,7,4,2,2,55.627786658572575,False
2008,TGT,Consumer Staples,2,14,4,1,1,54.142378978327564,False
2008,KMB,Consumer Staples,3,21,3,0,0,52.129849538992076,False
2008,WMT,Consumer Staples,4,23,3,0,0,38.62587593603392,False
2008,PG,Consumer Staples,5,13,2,1,1,49.0960767747571,False
2008,STT,Financials,1,16,4,1,1,54.948545692144926,False
2008,GS,Financials,2,17,3,1,1,50.013025791423026,False
2008,SCHW,Financials,3,10,3,2,2,47.1960181926915,False
2008,UNM,Financials,4,45,2,0,0,48.7625578460112,False
2008,PNC,Financials,5,19,2,1,1,47.15691603330335,False
2008,BMY,Health Care,1,27,4,0,0,80.34158126636882,False
2008,BAX,Health Care,2,17,4,1,1,72.02740012397908,False
2008,JNJ,Health Care,3,23,4,0,0,69.31421458406984,False
2008,MRK,Health Care,4,9,3,2,2,62.77382653438947,False
2008,BDX,Health Care,5,15,2,1,1,46.0582691867947,False
2008,MMM,Industrials,1,29,4,0,0,52.717657618031524,False
2008,UPS,Industrials,2,21,4,1,1,50.769572789607025,False
2008,JCI,Industrials,3,37,3,0,0,49.42568271658,False
2008,ETN,Industrials,4,12,2,1,1,51.22809292569565,False
2008,ROK,Industrials,5,9,2,2,2,31.332669822410075,False
2008,CSCO,Information Technology,1,19,5,1,1,68.05655212903662,False
2008,IBM,Information Technology,2,21,4,0,0,65.91673437925047,False
2008,TXN,Information Technology,3,23,3,0,0,62.6617754745799,False
2008,HPQ,Information Technology,4,9,3,2,2,61.106235793604796,False
2008,ORCL,Information Technology,5,18,3,1,1,39.838375397068184,False
2008,FCX,Materials,1,2,5,5,5,27.963632050787158,True
2008,EMN,Materials,2,12,4,1,1,47.64483090234908,False
2008,ASH,Materials,3,3,3,5,3,35.09744427241342,True
2008,NEM,Materials,4,7,2,3,2,72.97366906826176,False
2008,NUE,Materials,5,1,2,6,2,20.294111269764073,False
2008,EQR,Real Estate,1,11,4,0,0,31.147251528746004,False
2008,KIM,Real Estate,2,3,4,6,4,30.178942886791525,True
2008,VNO,Real Estate,3,5,4,5,4,24.36977774451175,True
2008,AIV,Real Estate,4,8,2,2,2,19.717653392351224,False
2008,BXP,Real Estate,5,2,2,6,2,17.864488177509678,False
2008,SO,Utilities,1,9,4,2,2,66.60089273051868,False
2008,EXC,Utilities,2,1,3,4,3,51.17677814886292,True
2008,PNW,Utilities,3,21,3,0,0,51.111426090769676,False
2008,EIX,Utilities,4,8,2,3,2,46.328500332435326,False
2008,ED,Utilities,5,12,2,2,2,44.5023764922788,False
2009,DIS,Communication Services,1,3,5,8,5,50.841045670644725,True
2009,NYT,Communication Services,2,6,5,4,4,36.90104935844578,True
2009,VZ,Communication Services,3,4,5,8,5,32.29005775637534,True
2009,T,Communication Services,4,1,5,9,5,24.151889704783418,True
2009,CMCSA,Communication Services,5,5,3,7,3,11.530648483949863,True
2009,MCD,Consumer Discretionary,1,12,5,2,2,58.6779752618081,False
2009,SBUX,Consumer Discretionary,2,9,4,2,2,63.02792016474798,False
2009,HD,Consumer Discretionary,3,35,4,0,0,45.909051317985124,False
2009,EBAY,Consumer Discretionary,4,18,3,1,1,44.907803026345924,False
2009,F,Consumer Discretionary,5,36,2,0,0,63.3832797501678,False
2009,PEP,Consumer Staples,1,9,5,2,2,58.786134175828785,False
2009,TGT,Consumer Staples,2,15,5,1,1,55.92839145151655,False
2009,WMT,Consumer Staples,3,19,4,1,1,43.61483553868808,False
2009,KMB,Consumer Staples,4,24,3,0,0,52.172251369468675,False
2009,KO,Consumer Staples,5,17,2,1,1,57.58231196333804,False
2009,STT,Financials,1,21,5,1,1,57.55115660617056,False
2009,GS,Financials,2,22,4,1,1,52.42545798410494,False
2009,SCHW,Financials,3,26,3,1,1,48.390486326441625,False
2009,BAC,Financials,4,24,2,1,1,51.25272119649335,False
2009,C,Financials,5,48,2,0,0,49.204453595252524,False
2009,BMY,Health Care,1,20,5,1,1,79.68304335103196,False
2009,BAX,Health Care,2,16,5,1,1,72.83348555962834,False
2009,JNJ,Health Care,3,26,5,0,0,72.4104220457709,False
2009,MRK,Health Care,4,12,3,2,2,62.295970980160384,False
2009,A,Health Care,5,21,2,1,1,47.52414786845966,False
2009,MMM,Industrials,1,31,5,0,0,53.51403779778087,False
2009,JCI,Industrials,2,39,4,0,0,50.42806095682266,False
2009,UPS,Industrials,3,25,4,1,1,49.876068341002984,False
2009,ETN,Industrials,4,17,3,1,1,56.730558122602304,False
2009,ROK,Industrials,5,10,3,2,2,35.9063279765307,False
2009,CSCO,Information Technology,1,22,6,1,1,69.51089066512036,False
2009,HPQ,Information Technology,2,10,4,2,2,66.36774306549573,False
2009,IBM,Information Technology,3,16,4,1,1,65.09978654179848,False
2009,INTC,Information Technology,4,13,3,2,2,63.29988989566664,False
2009,TXN,Information Technology,5,23,3,0,0,62.40972431292973,False
2009,FCX,Materials,1,2,6,5,5,33.2300227682393,True
2009,EMN,Materials,2,12,4,1,1,44.06155647121698,False
