ticker,name,industry,mkt_cap,esg
JNJ,Johnson & Johnson,Pharmaceuticals,623709917186.1,89.4346634490943
OC,Owens Corning,Building Products,11294902022.94,89.003366561158
AU,Anglogold Ashanti PLC,Metals & Mining,41414498718.0,87.7928935917759
BAC,Bank of America Corp,Banks,420472996071.75,87.6376688610055
MSFT,Microsoft Corp,Software,2880746978211.2,87.5071582730164
PM,Philip Morris International Inc,Tobacco,282364106129.82,87.3802863372441
BDX,Becton Dickinson and Co,Health Care Equipment & Supplies,41565273412.95,87.299784578685
BABA,Alibaba Group Holding Ltd,Broadline Retail,266409807656.48,87.1267736032683
NXPI,NXP Semiconductors NV,Semiconductors & Semiconductor Equipment,72060295368.18,87.0213449752961
GILD,"Gilead Sciences, Inc",Biotechnology,166395194513.48,87.0157404681501
NEM,Newmont Corporation,Metals & Mining,101214677554.84,86.9802226221819
TEX,Terex Corp,Machinery,7380746000.0,86.9062239106703
CDNS,Cadence Design Systems Inc,Software,106995921800.0,86.7022381596745
BNTX,Biontech SE,Biotechnology,23629505347.84,86.6440861336759
SPGI,S&P Global Inc,Capital Markets,128156160000.0,86.2311428593547
MO,Altria Group Inc,Tobacco,119547513513.65,86.1066229309889
CRH,CRH PLC,Construction Materials,69733374541.76,85.7301006499192
LMT,Lockheed Martin Corp,Aerospace & Defense,119491895482.08,85.6307583304799
C,Citigroup Inc,Banks,238047375609.35,85.1236982671967
BNY,Bank of New York Mellon Corp,Capital Markets,104508073391.7,85.0836967977746
CCL,Carnival Corporation Ltd,"Hotels, Restaurants & Leisure",36597024459.68,84.9944990781884
O,Realty Income Corp,Retail REITs,58905553120.1,84.8565009649156
BG,Bunge Global SA,Food Products,22044338226.3,84.4502040775639
DOW,Dow Inc,Chemicals,20541130983.0,84.2655640563708
LITE,Lumentum Holdings Inc,Communications Equipment,59870601000.0,84.241618213981
MMM,3M Co,Industrial Conglomerates,81020258323.74,84.2160091175224
YUMC,Yum China Holdings Inc,"Hotels, Restaurants & Leisure",14772425267.01,84.1378340451059
HSY,Hershey Co,Food Products,34818064803.8,84.1199893401191
HST,"Host Hotels and Resorts, Inc",Hotel & Resort REITs,15834408976.72,84.1091781752806
ECL,Ecolab Inc,Chemicals,76840881171.06,83.9527503197612
BIIB,Biogen Inc,Biotechnology,29177523432.71,83.6064504275391
HAL,Halliburton Co,Energy Equipment & Services,28503770718.2,83.5156241366753
ABT,Abbott Laboratories,Health Care Equipment & Supplies,164427093297.6,83.4887415423759
G,Genpact Ltd,Professional Services,5024172956.4,83.4451996574776
FCX,Freeport-McMoRan Inc,Metals & Mining,87015498628.45,83.3289967376854
TSCO,Tractor Supply Co,Specialty Retail,15890823364.8,83.3151852044362
USFD,US Foods Holding Corp,Consumer Staples Distribution & Retail,21907650338.88,83.2395311612385
TGT,Target Corp,Consumer Staples Distribution & Retail,60075858384.24,83.0660295832246
DIS,Walt Disney Co,Entertainment,167000303646.08,82.8495561794681
DOC,"Healthpeak Properties, Inc",Health Care REITs,14870782972.14,82.6565907899893
