date,regime
2020-08-04,neutral
2020-08-05,neutral
2020-08-06,neutral
2020-08-07,neutral
2020-08-10,neutral
2020-08-11,neutral
2020-08-12,neutral
2020-08-13,neutral
2020-08-14,neutral
2020-08-17,neutral
2020-08-18,neutral
2020-08-19,neutral
2020-08-20,neutral
2020-08-21,neutral
2020-08-24,neutral
2020-08-25,neutral
2020-08-26,neutral
2020-08-27,neutral
2020-08-28,neutral
2020-08-31,neutral
2020-09-01,neutral
2020-09-02,neutral
2020-09-03,neutral
2020-09-04,bear
2020-09-08,bear
2020-09-09,bear
2020-09-10,bear
2020-09-11,bear
2020-09-14,bear
2020-09-15,bear
2020-09-16,bear
2020-09-17,bear
2020-09-18,bear
2020-09-21,bear
2020-09-22,bear
2020-09-23,bear
2020-09-24,bear
2020-09-25,bear
2020-09-28,bear
2020-09-29,bear
2020-09-30,bear
2020-10-01,bear
2020-10-02,bear
2020-10-05,bear
2020-10-06,bear
2020-10-07,bear
2020-10-08,bear
2020-10-09,bear
2020-10-12,bear
2020-10-13,bear
2020-10-14,bear
2020-10-15,bear
2020-10-16,bear
2020-10-19,bear
2020-10-20,bear
2020-10-21,bear
2020-10-22,bear
2020-10-23,neutral
2020-10-26,neutral
2020-10-27,bear
2020-10-28,bear
2020-10-29,bear
2020-10-30,bear
2020-11-02,bear
2020-11-03,bear
2020-11-04,bear
2020-11-05,bear
2020-11-06,bear
2020-11-09,bear
2020-11-10,bear
2020-11-11,bear
2020-11-12,bear
2020-11-13,bear
2020-11-16,bear
2020-11-17,bear
2020-11-18,bear
2020-11-19,bear
2020-11-20,bear
2020-11-23,bear
2020-11-24,bear
2020-11-25,bear
2020-11-27,bear
2020-11-30,neutral
2020-12-01,neutral
2020-12-02,neutral
2020-12-03,neutral
2020-12-04,neutral
2020-12-07,neutral
2020-12-08,neutral
2020-12-09,neutral
2020-12-10,neutral
2020-12-11,neutral
2020-12-14,neutral
2020-12-15,neutral
2020-12-16,neutral
2020-12-17,neutral
2020-12-18,neutral
2020-12-21,neutral
2020-12-22,neutral
2020-12-23,neutral
2020-12-24,neutral
2020-12-28,neutral
2020-12-29,neutral
2020-12-30,neutral
2020-12-31,neutral
2021-01-04,neutral
2021-01-05,neutral
2021-01-06,neutral
2021-01-07,neutral
2021-01-08,neutral
2021-01-11,neutral
2021-01-12,neutral
2021-01-13,neutral
2021-01-14,neutral
2021-01-15,neutral
2021-01-19,neutral
2021-01-20,neutral
2021-01-21,neutral
2021-01-22,neutral
2021-01-25,neutral
2021-01-26,neutral
2021-01-27,neutral
2021-01-28,bear
2021-01-29,bear
2021-02-01,bear
2021-02-02,bear
2021-02-03,bear
2021-02-04,bear
2021-02-05,bear
2021-02-08,bear
2021-02-09,bear
2021-02-10,bear
2021-02-11,bear
2021-02-12,bear
2021-02-16,bear
2021-02-17,bear
2021-02-18,bear
2021-02-19,bear
2021-02-22,bear
2021-02-23,bear
2021-02-24,bear
2021-02-25,bear
2021-02-26,bear
2021-03-01,bear
2021-03-02,bear
2021-03-03,bear
2021-03-04,bear
2021-03-05,bear
2021-03-08,bear
2021-03-09,bear
2021-03-10,bear
2021-03-11,bear
2021-03-12,bear
2021-03-15,bear
2021-03-16,bear
2021-03-17,bear
2021-03-18,bear
2021-03-19,bear
2021-03-22,bear
2021-03-23,bear
2021-03-24,bear
2021-03-25,bear
2021-03-26,bear
2021-03-29,bear
2021-03-30,bear
2021-03-31,bear
2021-04-01,bear
2021-04-05,bear
2021-04-06,neutral
2021-04-07,neutral
2021-04-08,neutral
2021-04-09,neutral
2021-04-12,neutral
2021-04-13,neutral
2021-04-14,neutral
2021-04-15,neutral
2021-04-16,neutral
2021-04-19,neutral
2021-04-20,neutral
2021-04-21,neutral
2021-04-22,neutral
2021-04-23,neutral
2021-04-26,neutral
2021-04-27,neutral
2021-04-28,neutral
2021-04-29,neutral
2021-04-30,neutral
2021-05-03,bull
2021-05-04,bull
2021-05-05,bull
2021-05-06,bull
2021-05-07,bull
2021-05-10,bull
2021-05-11,bull
2021-05-12,bull
2021-05-13,bear
2021-05-14,bear
2021-05-17,bear
2021-05-18,bear
2021-05-19,bear
2021-05-20,bear
2021-05-21,bear
2021-05-24,bear
2021-05-25,bear
2021-05-26,bear
2021-05-27,bear
2021-05-28,bear
2021-06-01,bear
2021-06-02,bear
2021-06-03,bear
2021-06-04,bear
2021-06-07,bear
2021-06-08,bear
2021-06-09,bear
2021-06-10,bear
2021-06-11,bull
2021-06-14,bull
2021-06-15,bull
2021-06-16,bull
2021-06-17,bull
2021-06-18,bull
2021-06-21,bull
2021-06-22,bull
2021-06-23,bull
2021-06-24,bull
2021-06-25,bull
2021-06-28,bull
2021-06-29,bull
2021-06-30,bull
2021-07-01,bull
2021-07-02,bull
2021-07-06,bull
2021-07-07,bull
2021-07-08,bull
2021-07-09,bull
2021-07-12,bull
2021-07-13,bull
2021-07-14,bull
2021-07-15,bull
2021-07-16,bull
2021-07-19,bull
2021-07-20,bull
2021-07-21,bull
2021-07-22,bull
2021-07-23,bull
2021-07-26,bull
2021-07-27,bull
2021-07-28,bull
2021-07-29,bull
2021-07-30,bull
2021-08-02,bull
2021-08-03,bull
2021-08-04,bull
2021-08-05,bull
2021-08-06,bull
2021-08-09,bull
2021-08-10,bull
2021-08-11,bull
2021-08-12,bull
2021-08-13,bull
2021-08-16,bull
2021-08-17,bull
2021-08-18,bull
2021-08-19,bull
